AIRO_ID,Roll_No,Off_Name,Add_1,Add_2,Add_3,Add_4,County,Ethos,Island,DEIS,Gaeltacht,M_13_14,F_13_14,T_13_14,xcoord,ycoord,Long,Lat,Sex
1066,19769W,SCOIL THOMAIS,LAUREL LODGE,CASTLEKNOCK,DUBLIN 15,,Dublin,CATHOLIC,N,N,N,348,339,687,308005.0,237647.0,-6.37685,53.378,Mixed
1067,19850F,LADYSWELL N S,LADYSWELL,MULHUDDART,DUBLIN 15,,Dublin,CATHOLIC,N,Y,N,316,325,641,306988.0,240718.0,-6.39109,53.4058,Mixed
1068,19877C,HOLY FAMILY SENIOR N S,FOREST FIELDS,RIVER VALLEY,SWORDS,CO DUBLIN,Dublin,CATHOLIC,N,N,N,308,273,581,316844.0,246121.0,-6.24094,53.4522,Mixed
1069,19898K,GAELSCOIL AN DUINNINIGH,DRAIGHNEAN,FELTRIM SORD,CO BAILE ATHA CLIATH,,Dublin,CATHOLIC,N,N,N,163,201,364,319655.0,245568.0,-6.19886,53.4466,Mixed
1070,20095C,GAELSCOIL BHRIAN BÓROIMHE,Coill na nÚll,Sord,Co. Átha Cliath,,Dublin,INTER DENOMINATIONAL,N,N,N,212,215,427,316244.0,248440.0,-6.24911,53.4732,Mixed
1071,20098I,CASTLEKNOCK EDUCATE TOGETHER NS,BEECHPARK AVENUE,CASTLEKNOCK,DUBLIN 15,,Dublin,MULTI DENOMINATIONAL,N,N,N,233,203,436,308997.0,237865.0,-6.36187,53.3797,Mixed
1072,20130B,ST PATRICKS NS,St. Patrick's National School,Diswellstown Road,Castleknock,DUBLIN 15,Dublin,CATHOLIC,N,N,N,394,342,736,307391.0,236604.0,-6.386430000000001,53.3687,Mixed
1073,20137P,MARY  MOTHER OF HOPE SENIOR NS,LITTLEPACE,CASTAHEANY,DUBLIN 15,,Dublin,CATHOLIC,N,N,N,232,244,476,304873.0,240535.0,-6.4229400000000005,53.4045,Mixed
1074,20145O,SWORDS EDUCATE TOGETHER NS,APPLEWOOD,SWORDS,CO DUBLIN,,Dublin,MULTI DENOMINATIONAL,N,N,N,238,206,444,316225.0,248356.0,-6.24943,53.4724,Mixed
1075,20161M,DONABATE/PORTRANE EDUCATE TOGETHER,BALLISK COMMON,BEAVERSTOWN ROAD,DONABATE,CO DUBLIN,Dublin,MULTI DENOMINATIONAL,N,N,N,262,231,493,323066.0,250415.0,-6.14564,53.4893,Mixed
1076,20176C,RUSH AND LUSK EDUCATE TOGETHER NS,Raheny Lane,Rathmore Road,LUSK,CO DUBLIN,Dublin,MULTI DENOMINATIONAL,N,N,N,161,165,326,322269.0,254779.0,-6.15594,53.5287,Mixed
1077,20186F,CASTAHEANY EDUCATE TOGETHER NS,Castaheany Educate Together NS,Ongar Village,Dublin 15,,Dublin,MULTI DENOMINATIONAL,N,Y,N,258,190,448,303651.0,239242.0,-6.441730000000001,53.3932,Mixed
1078,20201V,TYRRELSTOWN EDUCATE TOGETHER NATIONAL SCHOOL,HOLLYWOOOD ROAD,TYRRELSTOWN,DUBLIN 15,,Dublin,MULTI DENOMINATIONAL,N,N,N,312,269,581,307084.0,241686.0,-6.38932,53.4144,Mixed
1079,20202A,BALBRIGGAN EDUCATE TOGETHER NS,HAMLET LANE,MOYLARAGH,CO DUBLIN,,Dublin,MULTI DENOMINATIONAL,N,Y,N,209,190,399,318745.0,263994.0,-6.20556,53.6123,Mixed
1080,20231H,ST BENEDICTS NATIONAL SCHOOL,ONGAR,DUBLIN 15,,,Dublin,CATHOLIC,N,N,N,301,335,636,303773.0,239221.0,-6.43991,53.3929,Mixed
1081,20241K,Scoil Choilm Community NS,Porterstown Rd,Clonsilla,Dublin 15,,Dublin,MULTI DENOMINATIONAL,N,Y,N,294,254,548,305945.0,237362.0,-6.40789,53.3758,Mixed
1082,20247W,Scoil Ghrainne Community National School,Phibblestown,Dublin 15,,,Dublin,MULTI DENOMINATIONAL,N,N,N,271,242,513,304111.0,239777.0,-6.43464,53.3979,Mixed
1083,20252P,GAELSCOIL BHAILE BRIGIN,Castlelands,BHAILE BRIGIN,CONTAE ATHA CLIATH,,Dublin,INTER DENOMINATIONAL,N,N,N,199,202,401,320593.0,262715.0,-6.17815,53.6004,Mixed
1084,20269J,Scoil Chormaic,c/o Ardgillan Community College,Castlelands,Balbriggan,Co Dublin,Dublin,MULTI DENOMINATIONAL,N,N,N,153,123,276,320631.0,262815.0,-6.17753,53.6013,Mixed
1085,20282B,Bracken Educate Together N.S.,Castlelands,Balbriggan,Co. Dublin,,Dublin,MULTI DENOMINATIONAL,N,Y,N,224,179,403,320655.0,262745.0,-6.1772,53.6006,Mixed
1086,20302E,Thornleigh Educate Together National School,Thornleigh Green,Applewood Village,Swords,Co. Dublin,Dublin,MULTI DENOMINATIONAL,N,Y,N,143,112,255,317333.0,248344.0,-6.23275,53.4721,Mixed
1087,20307O,Skerries Educate Together National School,Barnageeragh Cove,Kellys Bay,Skerries,County Dublin,Dublin,MULTI DENOMINATIONAL,N,Y,N,117,120,237,323597.0,260869.0,-6.13352,53.5831,Mixed
1088,20309S,Mary Mother of Hope Junior National School,Littlepace,Castaheany,Dublin 15,,Dublin,CATHOLIC,N,N,N,245,215,460,304816.0,240500.0,-6.42381,53.4042,Mixed
